MP name,Nature of membership,Start of term,End of term,No. of Term,Standing Committee Membership,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Kalvakuntla Kavitha,Elected,18-May-14,In office,First,Commerce,Telangana,Nizamabad,Telangana Rashtra Samithi,Female,Professional Graduate,B.Tech.,39,35,0,188,62%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,1,194,71%
Kalyan Banerjee,Elected,18-May-14,In office,Second,Coal & Steel,West Bengal,Serampore,All India Trinamool Congress,Male,Professional Graduate,"B.Com., LL.B; Educated at Bankura Samilani College, Bankura",60,34,0,45,71%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,22.3,0.3,54,67%
Kamakhya Prasad Tasa,Elected,18-May-14,In office,First,Petroleum & Natural Gas,Assam,Jorhat,Bharatiya Janata Party,Male,Post Graduate,M.A.,41,28,0,79,77%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,33.7,0.2,97,74%
Kamal Nath,Elected,18-May-14,In office,Ninth,Commerce,Madhya Pradesh,Chhindwara,Indian National Congress,Male,Graduate,"B.Com.; Educated at St. Xavier's College, Calcutta, West Bengal",70,0,0,159,64%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Kamalbhan Singh Marabi,Elected,18-May-14,In office,First,Coal & Steel,Chhattisgarh,Surguja,Bharatiya Janata Party,Male,Post Graduate,M.A.,53,5,0,21,71%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,17,0.1,125,84%
Kambhampati Hari Babu,Elected,18-May-14,In office,First,Commerce,Andhra Pradesh,Visakhapatnam,Bharatiya Janata Party,Male,Doctorate,"M.E., Ph.D.",63,8,0,174,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Kamla Devi Patle,Elected,18-May-14,In office,Second,Chemicals & Fertilizers,Chhattisgarh,Janjgir-Champa,Bharatiya Janata Party,Female,Under Graduate,Under Graduate,50,28,0,430,79%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,17,0.1,125,84%
Kamlesh Paswan,Elected,18-May-14,In office,Second,"Food, Consumer Affairs & Public Distribution and Commerce",Uttar Pradesh,Bansgaon,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Educated at St. Pauls School I.C.S.E. Board Gorakhpur and U.P. Board, Gorakhpur",40,13,0,26,67%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Kantilal Bhuria,Elected,27-Nov-15,In office,Fifth,Social Justice & Empowerment ,Madhya Pradesh,Ratlam,Indian National Congress,Male,Post Graduate,"M.A., LL.B.; Educated at Chandrashekhar Azad College, Distt. Jhabua, Madhya Pradesh",66,8,0,21,82%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),25.5,0.8,90,81%,36.7,0.1,94,82%
Kanwar Singh Tanwar,Elected,18-May-14,In office,First,Health and Family Welfare,Uttar Pradesh,Amroha,Bharatiya Janata Party,Male,Matric,10th Pass,56,17,0,246,92%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Kapil Krishna Thakur,Elected,18-May-14,13/10/2014,First,Labour ,West Bengal,Bongaon,All India Trinamool Congress,Male,Graduate,Graduate,76,0,0,0,48%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),5.1,0.1,18,81%,3.3,0,8,67%
Kapil Moreshwar Patil,Elected,18-May-14,In office,First,Urban Development,Maharashtra,Bhiwandi,Bharatiya Janata Party,Male,Graduate,Graduate,56,38,0,308,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Karadi Sanganna Amarappa,Elected,18-May-14,In office,First,Agriculture,Karnataka,Koppal,Bharatiya Janata Party,Male,Inter/ Higher Secondary,S.L.C.,66,31,0,130,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Kariya Munda,Elected,18-May-14,In office,Eighth,Social Justice & Empowerment ,Jharkhand,Khunti,Bharatiya Janata Party,Male,Post Graduate,"M.A.; Educated at Ranchi University, Ranchi, Jharkhand",80,2,0,0,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,55.2,3.7,263,84%
Kaushal Kishore,Elected,18-May-14,In office,First,Home Affairs,Uttar Pradesh,Mohanlalganj,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Inter/ Higher Secondary,57,33,0,118,92%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Kaushalendra Kumar,Elected,18-May-14,In office,Second,Labour ,Bihar,Nalanda,Janata Dal (United),Male,Inter/ Higher Secondary,"I.A.; Educated S.P.M. College, Udatpuri, Biharsharif, Nalanda, Bihar",59,141,0,259,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Keshav Prasad Maurya,Elected,18-May-14,In office,First,Information Technology,Uttar Pradesh,Phulpur,Bharatiya Janata Party,Male,Graduate,Graduate,47,122,0,158,82%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Kesineni Srinivas,Elected,18-May-14,In office,First,Urban Development,Andhra Pradesh,Vijayawada,Telugu Desam Party,Male,Matric,Matric,51,21,2,190,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Kiren Rijiju,Elected,18-May-14,In office,Second,No,Arunachal Pradesh,Arunachal West,Bharatiya Janata Party,Male,Professional Graduate,"B.A.,LL.B. 
Educated at Hansraj College and Campus Law Centre, Faculty of Law,
University of Delhi",45,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kirit Premjibhai Solanki,Elected,18-May-14,In office,Second,Finance,Gujarat,Ahmedabad West,Bharatiya Janata Party,Male,Professional Post Graduate,"M.B.B.S., M.S. and F.I.C.S.; Educated at (i) Smt. N.H.L. Municipal Medial College and K.M. School of Post Graduate Medicine and Research, Sheth V.S. General Hospital , Ahmedabad; (ii) B.J. Medical College and Civil Hospital, Ahmedabad; and (iii) Fellow of",66,238,27,249,100%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Kirit Somaiya,Elected,18-May-14,In office,Second,Finance and Labour ,Maharashtra,Mumbai-North-East,Bharatiya Janata Party,Male,Doctorate,"B.Com., F.C.A., Ph.D. 
Educated at Bombay University, Mumbai (Maharashtra) and Institute of Chartered Accountants, Delhi",63,83,1,290,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Kirron Anupam Kher,Elected,18-May-14,In office,First,Home Affairs,Chandigarh,Chandigarh,Bharatiya Janata Party,Female,Post Graduate,M.A(English Literature),64,27,1,157,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27,1,157,86%
Kirti (Jha) Azad,Elected,18-May-14,In office,Third,Rural Development ,Bihar,Darbhanga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.) History; Educated at St. Stephen's College, University of Delhi, Delhi",58,23,4,301,96%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Kirti Vardhan Singh,Elected,18-May-14,In office,Third,"Chemicals & Fertilizers and Science & Technology, Environment & Forests",Uttar Pradesh,Gonda,Bharatiya Janata Party,Male,Post Graduate,"M.Sc. (Geology) 
Educated at Lucknow University, Lucknow, Uttar Pradesh",51,10,0,82,76%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Konakalla Narayana Rao,Elected,18-May-14,In office,Second,Agriculture,Andhra Pradesh,Machilipatnam,Telugu Desam Party,Male,Inter/ Higher Secondary,,66,1,0,95,81%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Konda Vishweshwar Reddy,Elected,18-May-14,In office,First,Industry,Telangana,Chelvella,Telangana Rashtra Samithi,Male,Professional Graduate,Engineering,57,42,1,121,98%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.8,1,194,71%
Kotha Prabhakar Reddy,Elected,16-Sep-14,In office,First,Chemicals & Fertilizers,Telangana,Medak,Telangana Rashtra Samithi,Male,Graduate,"B.A., Govt. Degree College, Siddipet, Medak. A.P. from Osmania University",51,16,0,209,61%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),40.2,1.3,162,81%,23.9,1,175,71%
Kothapalli Geetha,Elected,18-May-14,In office,First,Human Resource Development,Andhra Pradesh,Araku,Yuvajana Sramika Rythu Congress Party,Female,Post Graduate,"M.A.(Pub. Ad., Sociology)",46,59,0,481,97%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Krishan Pal,Elected,18-May-14,In office,First,No,Haryana,Faridabad,Bharatiya Janata Party,Male,Professional Graduate,B.A. LL.B.,60,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Krishna Pratap K.P.,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Uttar Pradesh,Jaunpur,Bharatiya Janata Party,Male,Doctorate,Ph.D.,40,2,0,52,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Krishna Raj,Elected,18-May-14,In office,First,No,Uttar Pradesh,Shahjahanpur,Bharatiya Janata Party,Female,Post Graduate,M.A.,50,50,0,68,96%,"This MP was appointed a minister in July 2016. Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 11th May, 2016. (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.)",35,1,136,81%,51.6,0.7,82,88%
Kristappa Nimmala,Elected,18-May-14,In office,Second,"Transport, Tourism and Culture",Andhra Pradesh,Hindupur,Telugu Desam Party,Male,Graduate,"B.Com.; Educated at Osmania College, Kurnool",60,14,0,188,90%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Krupal Balaji Tumane,Elected,18-May-14,In office,First,Coal & Steel,Maharashtra,Ramtek,Shiv Sena,Male,Graduate,B.Sc,51,26,0,280,87%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,44.4,2.6,371,79%
Kulamani Samal,Elected,18-May-14,In office,First,Chemicals & Fertilizers,Odisha,Jagatsinghpur,Biju Janata Dal,Male,Professional Graduate,M.B.B.S.,68,96,0,79,100%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Kunwer Sarvesh Kumar,Elected,18-May-14,In office,First,Energy,Uttar Pradesh,Moradabad,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Intermediate,65,0,0,90,80%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Ladu Kishore Swain,Elected,18-May-14,In office,First,Rural Development ,Odisha,Aska,Biju Janata Dal,Male,Graduate,B.A.,69,11,0,38,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,39.4,2.6,150,83%
Lakhan Lal Sahu,Elected,18-May-14,In office,First,Railways ,Chhattisgarh,Bilaspur,Bharatiya Janata Party,Male,Post Graduate,"M.A., LL.B.",45,42,0,88,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,17,0.1,125,84%
Lal Krishna Advani,Elected,18-May-14,In office,Seventh,Information Technology,Gujarat,Gandhinagar,Bharatiya Janata Party,Male,Professional Graduate,"Law Graduate; Educated at St. Patricks High School, Karachi, D.G. National College, Hyderabad, Sindh (now in Pakistan) and Government Law College, Mumbai (Maharashtra) ",89,1,0,0,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
Lallu Singh,Elected,18-May-14,In office,First,Water Resources ,Uttar Pradesh,Faizabad,Bharatiya Janata Party,Male,Professional Graduate,LL.B.,62,17,0,176,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,71.6,1,116,88%
Lalubhai Babubhai Patel,Elected,18-May-14,In office,Second,Home Affairs,Daman and Diu,Daman and Diu,Bharatiya Janata Party,Male,Matric,"Shree Somnath Kolvani Mandal High School, Dabhol, Daman",61,5,0,21,74%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,5,0,21,74%
Laxman Giluwa,Elected,18-May-14,In office,Second,"Science & Technology, Environment & Forests",Jharkhand,Singhbhum,Bharatiya Janata Party,Male,Graduate,"B.Com. 
Educated at University of Ranchi, Ranchi (Bihar)",52,17,0,334,94%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,55.2,3.7,263,84%
Laxmi Narayan Yadav,Elected,18-May-14,In office,First,Petroleum & Natural Gas,Madhya Pradesh,Sagar,Bharatiya Janata Party,Male,Professional Graduate,"B.A., LL.B.",72,31,0,179,95%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,52.8,0.7,171,82%
Liladharbhai Khodaji Vaghela,Elected,18-May-14,In office,First,Water Resources ,Gujarat,Patan,Bharatiya Janata Party,Male,Professional Graduate,"B.A. B.Ed. from Gujarat Vidhyapith, Ahmedabad, Gujarat, Hindi Visharad from allahabad Prayag, U.P. 17-02-1935",82,0,0,7,73%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,28.4,1.8,168,84%
M. B. Rajesh,Elected,18-May-14,In office,Second,Energy,Kerala,Palakkad,Communist Party of India (Marxist),Male,Post Graduate,"M.A. (Economics), LL.B.; Educated at NSS College Ottappalam, University of Calicut and Kerala Law Academy Law College Trivandrum, University of Kerala",46,136,0,374,80%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
M. Chandrakasi,Elected,18-May-14,In office,First,Energy,Tamil Nadu,Chidambaram,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A., Bachelor in Library & Information Science",48,16,0,175,80%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
M. I. Shanavas,Elected,18-May-14,In office,Second,Human Resource Development,Kerala,Wayanad,Indian National Congress,Male,Post Graduate,"M.A. (English), LL.B; Educated at Farook College, Kozhikkode and Law College, Ernakulam.",65,29,0,129,66%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
M. K. Raghavan,Elected,18-May-14,In office,Second,Health and Family Welfare,Kerala,Kozhikode,Indian National Congress,Male,Graduate,B.A. History,64,43,14,257,74%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,88.2,2.9,279,79%
M. Udhaya Kumar,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Tamil Nadu,Dindigul,All India Anna Dravida Munnetra Kazhagam,Male,Post Graduate,"M.A., B.L.",48,40,0,297,84%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
M. Vasanthi,Elected,18-May-14,In office,First,"Science & Technology, Environment & Forests",Tamil Nadu,Tenkasi,All India Anna Dravida Munnetra Kazhagam,Female,Post Graduate,M.A.,55,19,0,148,86%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,34.1,0,262,82%
M. Veerappa Moily,Elected,18-May-14,In office,Second,Finance,Karnataka,Chikkballapur,Indian National Congress,Male,Professional Graduate,"B.A., B.L.; Educated at Government Law College, Bangalore",77,15,0,7,91%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,35.2,0.3,246,84%
Maganti Venkateswara Rao (Babu),Elected,18-May-14,In office,Second,External Affairs,Andhra Pradesh,Eluru,Telugu Desam Party,Male,Graduate,B.A.,57,0,0,40,77%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,27.6,0.5,167,76%
Mahboob Ali Kaiser,Elected,18-May-14,In office,First,"Personnel, Public Grievances, Law and Justice",Bihar,Khagaria,Lok Jan Shakti Party,Male,Graduate,Graduate,49,2,0,2,88%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,40.5,2.1,124,87%
Maheish Girri,Elected,18-May-14,In office,First,Urban Development,Delhi,East Delhi,Bharatiya Janata Party,Male,Matric,10th Pass,43,33,11,305,93%, (Data corresponds to the period from 1 Jun 2014 to 15 Mar 2017.) (Questions data available till 9 Feb 2017.),45.3,1.4,180,81%,43,6,178,93%
