MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average
Kariya Munda,Elected,18-May-09,In office,Jharkhand,Khunti,Bharatiya Janata Party,Male,Post Graduate,"M.A.; Educated at Ranchi University, Ranchi, Jharkhand",77,N/A,N/A,N/A,N/A,"As Deputy Speaker, this MP does not not sign the attendance register, ask questions, introduce private member bills, or participate in debates. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Katti Ramesh Vishwanath,Elected,18-May-09,In office,Karnataka,Chikkodi,Bharatiya Janata Party,Male,Under Graduate,PUC (Science),49,22,0,138,70%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.2,0.2,350,68%
Kaushalendra Kumar,Elected,18-May-09,In office,Bihar,Nalanda,Janata Dal (United),Male,Inter/ Higher Secondary,"I.A.; Educated S.P.M. College, Udatpuri, Biharsharif, Nalanda, Bihar",56,93,0,457,97%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Kavuri Samba Siva Rao,Elected,18-May-09,In office,Andhra Pradesh,Eluru,Indian National Congress,Male,Graduate,"B.E.; Educated at Regional Engineering College, Warangal, Andhra Pradesh",70,31,0,152,78%,"This MP was appointed a minister in Jun, 2013.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",33.6,0.8,265,76%,18.4,0.4,309,68%
Khagen Das,Elected,18-May-09,In office,Tripura,Tripura West,Communist Party of India (Marxist),Male,Post Graduate,"M.Com., B.Ed.; Educated at S.N. College and Calcutta University, Kolkatta; West Bengal",76,37,1,310,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,21.5,0.5,155,80%
Khatgaonkar Patil Bhaskarrao Bapurao,Elected,18-May-09,In office,Maharashtra,Nanded,Indian National Congress,Male,Graduate,"B.E. (Mech.); Educated at Osmania University, Hyderabad, Andhra Pradesh",69,4,0,859,76%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,28.8,1.7,500,74%
Khiladi Lal Bairwa,Elected,18-May-09,In office,Rajasthan,Karauli-Dholpur,Indian National Congress,Male,Graduate,"B.A.; Educated at Hindi Vishwavidyalaya Allahabad, Uttar Pradesh",50,22,0,162,91%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%
Killi Krupa Rani,Elected,18-May-09,In office,Andhra Pradesh,Srikakulam,Indian National Congress,Female,Graduate,"M.B.B.S.; Educated at Andhra Medical College, Visakhapatanam, Andhra Pradesh",48,19,0,338,89%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,16,0.4,266,68%
Kirit Premjibhai Solanki,Elected,18-May-09,In office,Gujarat,Ahmedabad West,Bharatiya Janata Party,Male,Post Graduate,"M.B.B.S., M.S. and F.I.C.S.; Educated at (i) Smt. N.H.L. Municipal Medial College and K.M. School of Post Graduate Medicine and Research, Sheth V.S. General Hospital , Ahmedabad; (ii) B.J. Medical College and Civil Hospital, Ahmedabad; and (iii) Fellow of",63,157,10,457,89%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Kirodilal Meena,Elected,18-May-09,12/19/2013,Rajasthan,Dausa,Independent,Male,Graduate,"M.B.B.S.; Educated at S.P. Medical College, Bikaner, Rajasthan",62,39,0,601,86%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.9,0.8,292,76%,50,1,296,88%
Kirti (Jha) Azad,Elected,18-May-09,In office,Bihar,Darbhanga,Bharatiya Janata Party,Male,Graduate,"B.A. (Hons.) History; Educated at St. Stephen's College, University of Delhi, Delhi",55,34,0,296,94%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Kishanbhai Vestabhai Patel,Elected,18-May-09,In office,Gujarat,Valsad,Indian National Congress,Male,Inter/ Higher Secondary,,49,8,0,787,81%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Komatireddy Raj Gopal Reddy,Elected,18-May-09,In office,Andhra Pradesh,Bhongir,Indian National Congress,Male,Graduate,B.A.; Osmania University,46,0,0,158,65%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Konakalla Narayana Rao,Elected,18-May-09,In office,Andhra Pradesh,Machilipatnam,Telugu Desam Party,Male,Inter/ Higher Secondary,,63,3,0,30,74%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Krishna Tirath,Elected,18-May-09,In office,Delhi,North West Delhi,Indian National Congress,Female,Post Graduate,"M.A., B.Ed.; Educated at University of Delhi and C.I.E., University of Delhi",58,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kristappa Nimmala,Elected,18-May-09,In office,Andhra Pradesh,Hindupur,Telugu Desam Party,Male,Graduate,"B.Com.; Educated at Osmania College, Kurnool",57,9,0,41,78%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Kuldeep Bishnoi,Elected,22-Nov-11,In office,Haryana,Hisar,Haryana Janhit Congress,Male,Graduate,"BA,  Punjab University, Chandigarh",45,8,0,180,50%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),19,0.3,157,76%,8.4,0.1,153,69%
Kumbakudi Sudhakaran,Elected,18-May-09,In office,Kerala,Kannur,Indian National Congress,Male,Post Graduate,"M.A. (History); Educated at Govt. Brennen College, Telecherry",65,14,0,292,66%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%
Kunwarjibhai Mohanbhai Bavaliya,Elected,18-May-09,In office,Gujarat,Rajkot,Indian National Congress,Male,Graduate,"B.Sc., B.Ed.; Educated at Saurashtra University and Gujarat University, Gujarat",58,8,0,320,66%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Lakshmi Panabaka,Elected,18-May-09,In office,Andhra Pradesh,Bapatla,Indian National Congress,Female,Post Graduate,"M.A.; Educated at Andhra University, Vishakhapatnam (Andhra Pradesh) ",55,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lal Chand Kataria,Elected,18-May-09,In office,Rajasthan,Jaipur Rural,Indian National Congress,Male,Inter/ Higher Secondary,Educated at a Private Institute.,45,6,0,238,92%,"This MP was appointed a minister in Oct, 2012.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 7th Sep, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",28.8,0.6,215,76%,39.2,0.8,214,88%
Lal Ji Tandon,Elected,18-May-09,In office,Uttar Pradesh,Lucknow,Bharatiya Janata Party,Male,Graduate,,78,10,0,150,81%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Lal Krishna Advani,Elected,18-May-09,In office,Gujarat,Gandhinagar,Bharatiya Janata Party,Male,Graduate,"Law Graduate; Educated at St. Patricks High School, Karachi, D.G. National College, Hyderabad, Sindh (now in Pakistan) and Government Law College, Mumbai (Maharashtra) ",86,39,0,0,96%,"This MP was the Leader of Opposition till the end of Winter Session, 2009 and hence, did not sign the attendance register. Attendance is thus available only from 22nd Feb, 2010. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",37.9,0.8,300,76%,41,1.4,382,76%
Lalit Mohan Suklabaidya,Elected,18-May-09,In office,Assam,Karimganj,Indian National Congress,Male,Post Graduate,"M.A. (Economics); Educated at Karimganj College, Karimganj and Gauhati University (Assam) ",71,24,0,22,95%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,22.1,0.5,83,80%
Lalu Prasad,Elected,18-May-09,9/30/2013,Bihar,Saran,Rashtriya Janata Dal,Male,Graduate,"B.A., LL.B.; Educated at Patna University, Patna (Bihar) ",65,88,0,0,77%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),36.5,0.8,281,76%,43.5,0.7,311,87%
Lalubhai Babubhai Patel,Elected,18-May-09,In office,Daman and Diu,Daman and Diu,Bharatiya Janata Party,Male,Matric,"Shree Somnath Kolvani Mandal High School, Dabhol, Daman",58,8,0,78,64%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,8,0,78,64%
Laxman Tudu,Elected,18-May-09,In office,Orissa,Mayurbhanj,Biju Janata Dal,Male,Graduate,"Educated at M.P.C. College, Baripada (Utkal University), Ravenshaw College, Cuttak, Chandua Govt. High School, Mayurbhanj and Sainik School, Bhubaneswar, Orissa.",48,26,0,314,51%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,35,0.9,382,74%
M. Anjan Kumar Yadav,Elected,18-May-09,In office,Andhra Pradesh,Secunderabad,Indian National Congress,Male,Graduate,"B.A; Educated at Dharmavanth College, Hyderabad, Andhra Pradesh",52,0,0,643,74%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
M. B. Rajesh,Elected,18-May-09,In office,Kerala,Palakkad,Communist Party of India (Marxist),Male,Post Graduate,"M.A. (Economics), LL.B.; Educated at NSS College Ottappalam, University of Calicut and Kerala Law Academy Law College Trivandrum, University of Kerala",42,134,0,513,93%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%
M. I. Shanavas,Elected,18-May-09,In office,Kerala,Wayanad,Indian National Congress,Male,Post Graduate,"M.A. (English), LL.B; Educated at Farook College, Kozhikkode and Law College, Ernakulam.",62,37,0,305,81%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%
M. Jagannath,Elected,18-May-09,In office,Andhra Pradesh,Nagarkurnool,Indian National Congress,Male,Post Graduate,"M.B.B.S., D.L.O., M.S. (E.N.T.); Educated at Osmania Medical College, Hyderabad, Andhra Pradesh",62,34,0,278,80%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
M. K. Alagiri,Elected,18-May-09,In office,Tamil Nadu,Madurai,Dravida Munnetra Kazhagam,Male,Graduate,"B.A.; Educated at Presidency College, Chennai, Tamil Nadu",63,0,0,0,4%,"This MP was a Minister. He tendered his resignation on 20th Mar, 2013. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 21st Mar, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",4.7,0,47,76%,6.7,0,85,69%
M. K. Raghavan,Elected,18-May-09,In office,Kerala,Kozhikode,Indian National Congress,Male,Graduate,B.A. History,61,40,8,458,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,69.4,1.5,416,79%
M. Krishnaswamy,Elected,18-May-09,In office,Tamil Nadu,Arani,Indian National Congress,Male,Graduate,"B.A., B.L.; Educated at Law College, Madras, Tamil Nadu",73,25,0,242,90%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
M. Veerappa Moily,Elected,18-May-09,In office,Karnataka,Chikkballapur,Indian National Congress,Male,Graduate,"B.A., B.L.; Educated at Government Law College, Bangalore",74,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
M. Vijaya Shanthi,Elected,18-May-09,In office,Andhra Pradesh,Medak,Telangana Rashtra Samithi,Female,Matric,S.S.C.,47,0,0,0,14%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Madan Lal Sharma,Elected,18-May-09,In office,Jammu and Kashmir,Jammu,Indian National Congress,Male,Inter/ Higher Secondary,"Educated at Govt. Higher Secondary School, Pallanwalla; Jammu & Kashmir",61,21,0,79,92%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,44.4,0,96,88%
Madhu Goud Yaskhi,Elected,18-May-09,In office,Andhra Pradesh,Nizamabad,Indian National Congress,Male,Post Graduate,"B.A., LL.B., LL.M.; Educated at Nizam College, Osmania University; Campus Law Centre, University of Delhi and P.G. College of Law, Osmania University",53,15,0,626,77%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Madhu Kora,Elected,18-May-09,In office,Jharkhand,Singhbhum,Independent,Male,Graduate,"Educated at Ignou, Bhubneshwar, Orrisa",43,11,0,71,25%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,38.8,0.8,251,66%
Madhusudan Yadav,Elected,18-May-09,In office,Chhattisgarh,Rajnandgaon,Bharatiya Janata Party,Male,Inter/ Higher Secondary,"Higher Secondary; Educated at Higher Secondary School, Rajnandgaon, Chattisgarh",43,12,1,134,33%,Complete attendance for this MP is not available (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,13.6,0.5,183,60%
Magunta Srinivasulu Reddy,Elected,18-May-09,In office,Andhra Pradesh,Ongole,Indian National Congress,Male,Graduate,"B.Com; Educated at V.R. College, Nellore, Andhra Pradesh",60,3,0,808,54%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,20.3,0.4,339,68%
Mahabal Mishra,Elected,18-May-09,In office,Delhi,West Delhi,Indian National Congress,Male,Inter/ Higher Secondary,Intermediate (Science); Educated at L.S. College Muzaffarpur,60,31,0,318,95%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,32,5.6,296,84%
Mahabali Singh,Elected,18-May-09,In office,Bihar,Karakat,Janata Dal (United),Male,Under Matric,"High School, Bhagwanpur, Distt. Kaimur",58,19,0,168,92%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Mahadeo Singh Khandela,Elected,18-May-09,In office,Rajasthan,Sikar,Indian National Congress,Male,Post Graduate,"M.A. (Eco.); Educated at University of Rajasthan, Jaipur",70,0,0,0,82%,"This MP was a Minister. He tendered his resignation on 28th Oct, 2012. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 29th Oct, 2012. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",9.1,0.2,85,76%,12.3,0.2,90,88%
Mahendra Kumar Roy,Elected,18-May-09,In office,West Bengal,Jalpaiguri,Communist Party of India (Marxist),Male,Graduate,"B.A., B.Ed.; Educated at A.C. College, Jalpaiguri, A.C. Training college, Jalpaiguri",58,39,0,168,94%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.5,0.8,175,72%
Mahendrasinh Pruthvisinh Chauhan,Elected,18-May-09,In office,Gujarat,Sabarkantha,Bharatiya Janata Party,Male,Graduate,"B.S.A.M., LL.B.; Educated at Akhadanand Ayurvedic Medical College, Jamnagar Ayurvedic University and Law College, Modasa, Gujarat University, Ahmedabad",60,174,18,786,97%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,41,1.4,382,76%
Mahesh Joshi,Elected,18-May-09,In office,Rajasthan,Jaipur,Indian National Congress,Male,Doctorate,"M.A., (P.G. Diploma in Journalism); Educated at University of Rajasthan",59,10,0,351,95%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,51.5,1,304,88%
Maheshwar Hazari,Elected,18-May-09,In office,Bihar,Samastipur,Janata Dal (United),Male,Graduate,"B.A.; Educated at V.R.V. College, Samastipur, Bihar",51,36,0,478,93%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Makhansingh Solanki,Elected,18-May-09,In office,Madhya Pradesh,Khargone,Bharatiya Janata Party,Male,Under Matric,,61,13,0,125,85%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,46.6,0.4,233,82%
Mala Rajya Laxmi Shah,Elected,13-Oct-12,In office,Uttarakhand,Tehri Garhwal,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"Educated at Convent of Jesus & Mary, Pune and Ratna Rajya Laxmi College, Kathmandu (attended for 2 years)",63,9,0,31,75%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),9.1,0.2,85,76%,13.9,0,34,79%
Mallikarjun Kharge,Elected,18-May-09,In office,Karnataka,Gulbarga,Indian National Congress,Male,Graduate,"B.A., LL.B; Educated at Karnataka University, Karnataka",71,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mallipudi Raju Pallam Mangapati,Elected,18-May-09,In office,Andhra Pradesh,Kakinada,Indian National Congress,Male,Post Graduate,"B.E., M.B.A., F.I.E.T.E.; Educated at Andhra University, Visakhapatnam, India and Temple University, Philadelphia, USA",51,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mamata Banerjee,Elected,18-May-09,11/9/2011,West Bengal,Kolkata Dakshin,All India Trinamool Congress,Female,Post Graduate,"M.A., B.Ed., LL.B., Trained in Work Education, Educated at Calcutta University, West Bengal",59,N/A,N/A,N/A,N/A,"This MP was a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maneka Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Aonla,Bharatiya Janata Party,Female,Inter/ Higher Secondary,"I.S.C.; Educated at Lawrence School, Sanawar, Himachal Pradesh",57,6,1,336,77%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,43.9,0.4,254,79%
Mangani Lal Mandal,Elected,18-May-09,In office,Bihar,Jhanjharpur,Janata Dal (United),Male,Post Graduate,"M.Com.; Educated at R.K. College, Madhubani (Bihar) and C.M. College, Darbhanga, Bihar University, Muzaffarpur (now Babasaheb Bhimrao Ambedkar Bihar University) ",65,45,0,278,94%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,45.1,0.7,331,87%
Manicka Tagore,Elected,18-May-09,In office,Tamil Nadu,Virudhunagar,Indian National Congress,Male,Graduate,"B.A., L.L.B.; Educated at Bangalore University",38,39,0,470,88%, (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.),37.9,0.8,300,76%,47.2,0.4,398,69%
Manikrao Hodlya Gavit,Elected,18-May-09,In office,Maharashtra,Nandurbar,Indian National Congress,Male,Matric,,79,9,0,150,88%,"This MP was appointed a minister in Jun, 2013.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 8th May, 2013. (Data corresponds to the period 3 Jun 2009 to 21 Feb 2014.)",33.6,0.8,265,76%,25.8,1.7,440,74%
